col,section_id,section_title,section_note,section_desc,featured,section_sizes,kind,name,desc,tag,size1,price1,size2,price2,size3,price3
A,fresh,Fresh Brewed Coffee,,,,12 oz|16 oz|20 oz,item,Drip Coffee,,,12 oz,2.75,16 oz,3,20 oz,3.5
A,fresh,Fresh Brewed Coffee,,,,12 oz|16 oz|20 oz,item,Custom Hand Made Coffee,,,12 oz,4,16 oz,4.5,20 oz,5
A,fresh,Fresh Brewed Coffee,,,,12 oz|16 oz|20 oz,addon,Add Espresso Shot,,,,1,,,,
A,turkish,Turkish Coffee,,,,8 oz,item,Turkish Coffee,,,8 oz,5,,,,
A,exotic,Exotic Hand Made Drip,12 oz only,,yes,,single,Kopi Luwak,,Rare,,39,,,,
A,exotic,Exotic Hand Made Drip,12 oz only,,yes,,single,Geisha Esmeralda,,,,15,,,,
A,exotic,Exotic Hand Made Drip,12 oz only,,yes,,single,Jamaican Blue Mountain,,,,10,,,,
A,exotic,Exotic Hand Made Drip,12 oz only,,yes,,single,Hawaiian Fancy Kona,,,,9,,,,
A,exotic,Exotic Hand Made Drip,12 oz only,,yes,,single,Honey Processed Coffee,,,,5,,,,
B,espresso-classics,Espresso Classics,,,,Single|Double,item,Espresso,,,Single,3.25,Double,3.75,,
B,espresso-classics,Espresso Classics,,,,Single|Double,item,Espresso Macchiato,,,Single,3.75,Double,4.25,,
B,espresso-classics,Espresso Classics,,,,Single|Double,item,Cafe Africano,,,Single,4.25,Double,4.75,,
B,espresso-classics,Espresso Classics,,,,Single|Double,item,Cafe Americano,,,Single,4.25,Double,4.75,,
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,Cafe Latte,,,12 oz,5.25,16 oz,5.75,20 oz,6.25
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,Cappuccino,,,12 oz,5.25,16 oz,5.75,20 oz,6.25
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,Cafe Mocha,,,12 oz,5.75,16 oz,6.25,20 oz,6.75
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,Cafe Breve,,,12 oz,5.25,16 oz,5.75,20 oz,6.25
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,Cafe Au Lait,,,12 oz,4,16 oz,4.75,20 oz,5
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,White Satin Mocha,,,12 oz,5.5,16 oz,6,20 oz,6.5
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,Caramel Macchiato,,,12 oz,5.5,16 oz,6,20 oz,6.5
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,Chai,,,12 oz,5.5,16 oz,6,20 oz,6.5
B,hot-espresso,Hot Espresso Drinks,,,,12 oz|16 oz|20 oz,item,Dirty Chai,,,12 oz,6.5,16 oz,7,20 oz,7.5
C,iced,Iced Drinks,,,,16 oz|24 oz,item,Iced Coffee,,,16 oz,4.95,,,24 oz,5.75
C,iced,Iced Drinks,,,,16 oz|24 oz,item,Iced Cafe Latte,,,16 oz,6.25,,,24 oz,7.25
C,iced,Iced Drinks,,,,16 oz|24 oz,item,Iced Cafe Mocha,,,16 oz,6.75,,,24 oz,7.75
C,iced,Iced Drinks,,,,16 oz|24 oz,item,Iced Caramel Macchiato,,,16 oz,6.25,,,24 oz,7.75
C,iced,Iced Drinks,,,,16 oz|24 oz,item,Iced White Mocha,,,16 oz,6.25,,,24 oz,7.75
C,iced-espresso,Iced Espresso,,,,Single|Double,item,Espresso,,,Single,5,Double,5.5,,
C,frappes,Frappes,,,,16 oz|24 oz,uniform,,,,16 oz,6.25,,,24 oz,7.25
C,frappes,Frappes,,,,16 oz|24 oz,flavor,Mocha Bean,,,,,,,,
C,frappes,Frappes,,,,16 oz|24 oz,flavor,Vanilla,,,,,,,,
C,frappes,Frappes,,,,16 oz|24 oz,flavor,Caramel,,,,,,,,
C,frappes,Frappes,,,,16 oz|24 oz,flavor,Raspberry,,,,,,,,
C,frappes,Frappes,,,,16 oz|24 oz,flavor,Banana,,,,,,,,
C,frappes,Frappes,,,,16 oz|24 oz,flavor,Coconut,,,,,,,,
C,frappes,Frappes,,,,16 oz|24 oz,flavor,Chai,,,,,,,,
D,cold-brew,Cold Brew,,,,18 oz|24 oz,item,Cold Brew,,,18 oz,5,,,24 oz,6.25
D,matcha,Matcha Latte,,,,,item,Hot Matcha Latte,,,12 oz,5,16 oz,5.5,20 oz,6
D,matcha,Matcha Latte,,,,,item,Iced Matcha Latte,,,18 oz,5.75,,,24 oz,6.75
D,vietnamese,Vietnamese Iced Coffee,,,,18 oz|24 oz,item,Vietnamese Iced Coffee,,,18 oz,5.75,,,24 oz,6.75
D,hot-chocolate,Hot Chocolate,,,,12 oz|16 oz|20 oz,item,Hot Chocolate,,,12 oz,4.75,16 oz,5.25,20 oz,5.75
D,refreshers,Refreshers,,Made with green coffee extract,,18 oz|24 oz,Item,Strawberry Acai,Ripe strawberry flavor with a boost of acai berries,,18 oz,5.75,24 oz,6.75,,
D,refreshers,Refreshers,,Made with green coffee extract,,18 oz|24 oz,Item,Watermelon Cucumber Mint,"Crisp cucumber, sweet watermelon, a hint of mint",,18 oz,5.75,24 oz,6.75,,
